Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
25 Mar 2020 (Wed),-500,13:04,1476.80 (16970.00-18446.80),13448.00 (904.35-231.95 = -672.40) 16800PE,-14206.00 (789.65-1499.95 = 710.30) 17200CE
26 Mar 2020 (Thu),-500,10:18,401.70 (18950.45-19352.15),7585.00 (485.2-105.95 = -379.25) 18800PE,-8585.00 (366.65-795.9 = 429.25) 19200CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
27 Mar 2020 (Fri),-500,09:32,-461.10 (21040.10-20579.00),1723.00 (1309-1222.85 = -86.15) 20800PE,-2566.00 (1026.8-1155.1 = 128.30) 21200CE
30 Mar 2020 (Mon),-500,09:33,-153.70 (19181.80-19028.10),1348.00 (1034.6-967.2 = -67.40) 19000PE,-1922.00 (899.15-995.25 = 96.10) 19400CE
31 Mar 2020 (Tue),5635,14:30,345.65 (18942.25-19287.90),6011.00 (488.9-188.35 = -300.55) 18700PE,-376.00 (461.15-479.95 = 18.80) 19100CE
1 Apr 2020 (Wed),-500,09:41,-677.15 (18803.20-18126.05),-1937.00 (168.8-265.65 = 96.85) 18600PE,1122.00 (116.15-60.05 = -56.10) 19000CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
3 Apr 2020 (Fri),5602,14:30,-355.85 (17627.15-17271.30),508.00 (682.85-657.45 = -25.40) 17400PE,5094.00 (525-270.3 = -254.70) 17800CE
7 Apr 2020 (Tue),-500,10:22,785.75 (18112.75-18898.50),-803.00 (372-412.15 = 40.15) 17900PE,262.00 (276.65-263.55 = -13.10) 18300CE
8 Apr 2020 (Wed),-500,09:31,137.35 (18728.80-18866.15),1173.00 (361.3-302.65 = -58.65) 18500PE,-1860.00 (345.3-438.3 = 93.00) 18900CE
9 Apr 2020 (Thu),9151,14:30,-0.35 (19602.55-19602.20),4762.00 (264.55-26.45 = -238.10) 19400PE,4389.00 (230.65-11.2 = -219.45) 19800CE
,,,,,
Date,Profit,Exit Time,Spot Change,(1) BN Sell 1 Lot ATM-200 PE,(2) BN Sell 1 Lot ATM+200 CE
